,BuildingType,PrimaryPropertyType,PropertyName,Address,Neighborhood,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
1294,nonresidential,small- and mid-sized office,doyle building,119 pine street,downtown,4.040404040404041,0.39103560463991816,0.0,0.47281603001979283,"office, retail store",office,0.21304417843147783,retail store,1.2377138696760102,,,71.71717171717172,7.298657688054592,5.351144919847329,0.23705390087870737,0.6652371494027839,0.1961979692993974,0.19619796111079668,0.0,0.0,False,compliant,,0.46397001383375086,4.8079742011140425
1295,nonresidential,other,the lusty lady,1315 1st ave,downtown,3.0303030303030303,0.41331542783222575,0.0,0.49507756114944207,other,other,0.19714423747919907,,,,,,0.2157238613810376,0.22137405309160305,0.005068348574572147,0.0,0.02430205153233835,0.024302111588139882,0.0,0.0,False,non-compliant,low outlier,0.006579033154770867,0.08795074758135442
1296,multifamily hr (10+),high-rise multifamily,harbor steps,1221 first ave.,downtown,28.282828282828284,13.37487650220956,55.73225544665709,10.37953012498229,"multifamily housing, office, parking, swimming pool",multifamily housing,10.033700144935315,parking,41.6,office,6.612753073422832,41.41414141414142,5.92042187025612,4.469465591603053,5.48707711457542,0.0,4.629032209245837,4.629032240344885,5.923538627567478,5.9235387316261,False,compliant,,6.811966490791132,2.726473175021987
1297,campus,mixed use property,economy market,1433 first avenue,downtown,2.0202020202020203,0.40815905602301283,0.0,0.48992542279735357,"food sales, office, restaurant, retail store, self-storage facility, social/meeting hall",retail store,0.1069085833914864,restaurant,1.3454677830360393,social/meeting hall,1.7833682800142687,,13.219079563104577,11.103053202290077,0.6221493278351509,0.0,0.6457666711150881,0.6457667117252881,0.4392663742955063,0.43926635314810897,False,compliant,,0.5872527972745022,5.892700087950747
1298,multifamily mr (5-9),mid-rise multifamily,53381 - post alley court,1408 western ave,downtown,8.080808080808081,0.3381720511542162,0.0,0.41999587828931834,multifamily housing,multifamily housing,0.2654034032959364,,,,,10.101010101010102,7.598274170184696,7.599236874045801,0.22040080255883937,0.0,0.3106487351996296,0.31064876255855983,0.0,0.0,False,compliant,,0.08434201963278326,0.9674582233948986
1299,multifamily lr (1-4),low-rise multifamily,marketside flats_complete,84 union st,downtown,4.040404040404041,0.21799636067574682,0.0,0.2999188538209546,"multifamily housing, retail store",multifamily housing,0.23462343657737933,retail store,0.9172187841281397,,,16.161616161616163,7.154841684350267,3.950381679389313,0.230913962773904,0.46776851483631776,0.11110640312140863,0.11110640994939597,0.2591482555411216,0.2591482633958692,False,compliant,,0.561944264327771,8.795074758135442
1300,campus,low-rise multifamily,sanitary market,1525 first avenue,downtown,4.040404040404041,0.36755262802546085,0.0,0.44935233327465623,"bar/nightclub, food sales, multifamily housing, restaurant, retail store, self-storage facility",multifamily housing,0.1826507058886682,retail store,1.5223880597014925,restaurant,0.7978283755448637,,10.210929345461798,10.209923664122138,0.43234380165210573,0.0,0.5924881292463814,0.5924881920642574,0.0,0.0,False,compliant,,0.16086032416259577,1.7590149516270883
1301,campus,restaurant,corner market,1501 1st avenue,downtown,2.0202020202020203,0.15141470968928453,0.0,0.23339186734961126,"food sales, office, restaurant",restaurant,0.12301250738096517,food sales,0.9357116854750637,office,0.40021925054595126,,32.58628786540577,20.961832526717554,0.7897204189832076,0.0,0.5048304738928361,0.50483041120087,1.2417471654095713,1.2417473120986608,False,compliant,,1.3015224238343555,25.32981530343007
1302,nonresidential,small- and mid-sized office,(id21483) madore building,1501 western avenue,downtown,6.0606060606060606,0.3161500465523692,0.0,0.3979919540772735,"non-refrigerated warehouse, office, retail store",office,0.16360513178377797,retail store,2.367673825991991,non-refrigerated warehouse,0.7743372456215144,,8.32933820321686,7.255725423664122,0.3235720362282606,0.0,0.3648204294263789,0.364820479275663,0.18315223843522685,0.1831522377638809,False,compliant,,0.2708072295869197,3.283494576370565
1303,multifamily lr (1-4),low-rise multifamily,exeter house,720 seneca st,east,1.0101010101010102,1.641821011377212,0.0,1.7225745235345389,multifamily housing,multifamily housing,1.7107091094530031,,,,,3.0303030303030303,5.488973861540074,3.454198473282443,0.8650408377979794,2.727515738147391,0.48558617999538856,0.48558619912616235,0.2696752910788193,0.2696753035322867,False,compliant,,2.068602127339261,6.273819994136616
1304,multifamily mr (5-9),mid-rise multifamily,atwood apartments,104 pine st,downtown,6.0606060606060606,0.43284518605961986,0.0,0.5145912851579775,multifamily housing,multifamily housing,0.49301626496322937,,,,,64.64646464646465,5.596835977273733,3.2671755141221377,0.2754241264940068,0.6614987780511564,0.14486900625158394,0.14486895434284933,0.22748557445394396,0.22748557445394396,False,compliant,,0.6610446556320674,6.36177074171797
1305,multifamily mr (5-9),mid-rise multifamily,elliott pointe apartments,2226 elliott ave,downtown,6.0606060606060606,0.926342195525107,0.0,1.007683126317552,"multifamily housing, parking, retail store",multifamily housing,0.6100059047721295,parking,4.760247542773935,retail store,0.511367096757354,,3.727229083240185,3.72519078129771,0.2305827410711108,0.0,0.324188535562331,0.3241885343547158,0.0,0.0,False,compliant,,0.08801679490842104,0.46907065376722357
1306,nonresidential,mixed use property,e0010 - elliott court,2103-2107 elliott avenue,downtown,4.040404040404041,0.7603499930335268,6.788813284224982,0.46829717534014853,"office, parking, retail store",parking,0.32615814053357667,office,4.018056061157626,retail store,3.0331833961213537,90.90909090909092,4.949664193705889,4.9541985916030535,0.1964852139176194,0.0,0.2788460214995765,0.27884607814504053,0.0,0.0,False,compliant,,0.07568851656434591,0.49838756962767505
1307,multifamily mr (5-9),mid-rise multifamily,livingston-baker building,1925 first avenue,downtown,6.0606060606060606,0.6398735141995199,0.0,0.7214496399943326,"medical office, multifamily housing, other - restaurant/bar, retail store",multifamily housing,0.3366578989747168,medical office,1.4433199854386602,other - restaurant/bar,0.6862455084089545,,5.776605866551794,5.782442748091603,0.28134726935982257,0.0,0.3916946294460084,0.39169460276138246,0.0,0.0,False,compliant,,0.10633140071764804,0.7622398123717383
1308,nonresidential,small- and mid-sized office,alaska trade building,1917 1st ave,downtown,4.040404040404041,0.2672182265711921,0.0,0.3491003078402666,office,office,0.32748939825004025,,,,,46.46464646464647,6.172099531880119,6.171755606870229,0.21308231478676254,0.0,0.30091670049575553,0.3009167187234186,0.0,0.0,False,compliant,,0.08167484402949778,1.114042802697156
1309,nonresidential,mixed use property,soames dunn building,1916 pike place,downtown,1.0101010101010102,0.2506426396928263,0.0,0.33253832976261527,"food sales, manufacturing/industrial plant, office, other - entertainment/public assembly, other - restaurant/bar, restaurant, retail store, self-storage facility",other - restaurant/bar,0.008578023511729017,office,0.8464506734619585,manufacturing/industrial plant,1.2139258898353011,,17.78523364817869,12.41221420610687,0.5877634889027934,0.0,0.4445300509295587,0.44453002364434124,0.7823244813013369,0.7823244682100909,False,compliant,,0.8543259810168222,12.195836997947811
1310,multifamily mr (5-9),mid-rise multifamily,the fairmount,1907 1st ave,downtown,5.050505050505051,0.3033987687658364,0.0,0.3852511452774212,"multifamily housing, office, restaurant, retail store",multifamily housing,0.18586075473723765,retail store,1.5143793228977065,restaurant,0.6307803405343797,,6.747363086486506,5.8625956526717555,0.2428794665775129,0.0,0.2766701368666645,0.2766701466455796,0.14089873082048543,0.14089873082048543,False,compliant,,0.2072099090908013,2.5798885957197295
1311,multifamily mr (5-9),mid-rise multifamily,l0088 - ventana,2100 western ave,downtown,8.080808080808081,0.6160038096993716,0.0,0.6975995328727895,"multifamily housing, parking, retail store",multifamily housing,0.45119974233721616,parking,1.8303603931561703,retail store,1.6757006011989177,69.6969696969697,4.422339459605605,3.6679388729007636,0.23393057333590234,0.0,0.24862946851036224,0.2486293891174569,0.1765048973344209,0.17650490586051445,False,compliant,,0.23299260658922769,1.7003811199061856
1312,multifamily mr (5-9),mid-rise multifamily,volta,2233 1st ave,downtown,8.080808080808081,0.46477172151166335,0.0,0.5464916084546592,"multifamily housing, parking, retail store",multifamily housing,0.3858822266358903,parking,1.7537677466326902,retail store,0.1972819892636836,,6.172099531880119,4.927481148854962,0.250429067199861,0.0,0.2498180831576211,0.24981808680093862,0.2222816435555824,0.22228163633861345,False,compliant,,0.2762601219314145,2.5212547639988263
1313,multifamily hr (10+),high-rise multifamily,bell tower,2215 1st ave,downtown,16.161616161616163,0.9068231797389823,0.0,0.9881801359305837,"multifamily housing, parking",multifamily housing,0.8032100488485694,parking,2.217546414270113,,,65.65656565656566,5.560882091699996,4.557251965648855,0.4269198156280259,0.0,0.43194294641543607,0.4319429446536485,0.33825264057144966,0.33825262076674417,False,compliant,,0.4344532704907248,2.286719437115215
1314,nonresidential,small- and mid-sized office,u0010 - union stables,2200 western avenue,downtown,5.050505050505051,0.597440871186205,0.0,0.6790518348052708,office,office,0.6698373503677062,,,,,100.0,2.8763182284489877,2.809160246946565,0.18699323837547963,0.0,0.25720700847320827,0.2572069719535485,0.01989097366309846,0.019890973418057192,False,compliant,,0.08849095946011624,0.6742890647903839
1315,nonresidential,mixed use property,scargo apartments,2205 1st ave,downtown,3.0303030303030303,0.19395477711529138,0.0,0.27589700875434175,"multifamily housing, office, restaurant",office,0.07577433034516076,multifamily housing,1.687950491445213,restaurant,0.6168596709501727,,9.539788607657188,5.65648843129771,0.24720922093483602,0.0,0.14535361236154454,0.14535359363136563,0.4432856973102524,0.4432857013383281,False,compliant,,0.45513869905842774,7.651715039577835
1316,multifamily lr (1-4),low-rise multifamily,lewiston apartments,2201 1st ave,downtown,3.0303030303030303,0.1703214063230654,0.0,0.25228304130726925,"food service, multifamily housing",multifamily housing,0.09246873154758709,food service,1.8217692027666545,,,,9.887343910293394,5.5305341183206105,0.2528266448959792,0.0,0.1310964021719961,0.13109637309255526,0.491216126736688,0.49121610961736634,False,compliant,,0.4962132033490243,9.029610085019053
1317,nonresidential,other,white and hitchcock,2234 1st ave,downtown,2.0202020202020203,0.1227323915005375,0.0,0.2047330977661187,food service,food service,0.1830908798110473,,,,,,1.5220517064500698,1.5190839404580152,0.03292775971731501,0.0,0.06134914891278312,0.06134909524144384,0.0,0.0,False,compliant,,0.016655029878293814,0.32248607446496624
1318,multifamily mr (5-9),mid-rise multifamily,concept one apts,2219 2nd ave,downtown,5.050505050505051,0.5647945921691255,0.0,0.6464323588636101,"multifamily housing, parking",multifamily housing,0.6248859305384078,parking,2.462322533673098,,,40.40404040404041,7.6102586461046124,4.9885495,0.4639986527794316,0.0,0.315134096046128,0.3151340725452458,0.7047057443716034,0.7047057994219711,False,compliant,,0.7463942749372029,5.8047493403693915
